State Label;State Code;District;Name;Chamber;Party
Alabama;1;6;Palmer, Gary J.;Representative;Republican
Alabama;1;0;Sessions, Jeff;Senator;Republican
Alabama;1;0;Shelby, Richard C.;Senator;Republican
Alabama;1;2;Roby, Martha;Representative;Republican
Alabama;1;7;Sewell, Terri A.;Representative;Democratic
Alabama;1;4;Aderholt, Robert B.;Representative;Republican
Alabama;1;3;Rogers, Mike D.;Representative;Republican
Alabama;1;5;Brooks, Mo;Representative;Republican
Alabama;1;1;Byrne, Bradley;Representative;Republican
Alaska;2;0;Murkowski, Lisa;Senator;Republican
Alaska;2;0;Sullivan, Dan;Senator;Republican
Alaska;2;0;Young, Don;Representative;Republican
American Samoa;60;0;Radewagen, Aumua Amata Coleman;Representative;Republican
Arizona;4;7;Gallego, Ruben;Representative;Democratic
Arizona;4;4;Gosar, Paul A.;Representative;Republican
Arizona;4;3;Grijalva, Raul M.;Representative;Democratic
Arizona;4;8;Franks, Trent;Representative;Republican
Arizona;4;0;McCain, John;Senator;Republican
Arizona;4;2;McSally, Martha;Representative;Republican
Arizona;4;9;Sinema, Kyrsten;Representative;Democratic
Arizona;4;1;O'Halleran, Tom;Representative;Democratic
Arizona;4;6;Schweikert, David;Representative;Republican
Arizona;4;0;Flake, Jeff;Senator;Republican
Arizona;4;5;Biggs, Andy;Representative;Republican
Arkansas;5;1;"Crawford, Eric A. &#34;Rick&#34;";Representative;Republican
Arkansas;5;2;Hill, J. French;Representative;Republican
Arkansas;5;0;Boozman, John;Senator;Republican
Arkansas;5;0;Cotton, Tom;Senator;Republican
Arkansas;5;3;Womack, Steve;Representative;Republican
Arkansas;5;4;Westerman, Bruce;Representative;Republican
California;6;47;Lowenthal, Alan S.;Representative;Democratic
California;6;14;Speier, Jackie;Representative;Democratic
California;6;44;Hahn, Janice;Representative;Democratic
California;6;33;Lieu, Ted;Representative;Democratic
California;6;19;Lofgren, Zoe;Representative;Democratic
California;6;52;Peters, Scott H.;Representative;Democratic
California;6;26;Brownley, Julia;Representative;Democratic
California;6;36;Ruiz, Raul;Representative;Democratic
California;6;27;Chu, Judy;Representative;Democratic
California;6;45;Walters, Mimi;Representative;Republican
California;6;17;Khanna, Ro;Representative;Democratic
California;6;13;Lee, Barbara;Representative;Democratic
California;6;5;Thompson, Mike;Representative;Democratic
California;6;34;Becerra, Xavier;Representative;Democratic
California;6;23;McCarthy, Kevin;Representative;Republican
California;6;9;McNerney, Jerry;Representative;Democratic
California;6;50;Hunter, Duncan D.;Representative;Republican
California;6;37;Bass, Karen;Representative;Democratic
California;6;18;Eshoo, Anna G.;Representative;Democratic
California;6;21;Valadao, David G.;Representative;Republican
California;6;31;Aguilar, Pete;Representative;Democratic
California;6;42;Calvert, Ken;Representative;Republican
California;6;38;Sanchez, Linda T.;Representative;Democratic
California;6;0;Harris, Kamala;Senator;Democratic
California;6;40;Roybal-Allard, Lucille;Representative;Democratic
California;6;4;McClintock, Tom;Representative;Republican
California;6;53;Davis, Susan A.;Representative;Democratic
California;6;48;Rohrabacher, Dana;Representative;Republican
California;6;6;Matsui, Doris O.;Representative;Democratic
California;6;3;Garamendi, John;Representative;Democratic
California;6;29;Cardenas, Tony;Representative;Democratic
California;6;22;Nunes, Devin;Representative;Republican
California;6;1;LaMalfa, Doug;Representative;Republican
California;6;32;Napolitano, Grace F.;Representative;Democratic
California;6;15;Swalwell, Eric;Representative;Democratic
California;6;28;Schiff, Adam B.;Representative;Democratic
California;6;43;Waters, Maxine;Representative;Democratic
California;6;0;Feinstein, Dianne;Senator;Democratic
California;6;25;Knight, Stephen;Representative;Republican
California;6;8;Cook, Paul;Representative;Republican
California;6;30;Sherman, Brad;Representative;Democratic
California;6;41;Takano, Mark;Representative;Democratic
California;6;16;Costa, Jim;Representative;Democratic
California;6;51;Vargas, Juan;Representative;Democratic
California;6;10;Denham, Jeff;Representative;Republican
California;6;39;Royce, Edward R.;Representative;Republican
California;6;24;Carbajal, Salud;Representative;Democratic
California;6;12;Pelosi, Nancy;Representative;Democratic
California;6;20;Panetta, Jimmy;Representative;Democratic
California;6;46;Correa, Lou;Representative;Democratic
California;6;35;Torres, Norma J.;Representative;Democratic
California;6;11;DeSaulnier, Mark;Representative;Democratic
California;6;7;Bera, Ami;Representative;Democratic
California;6;49;Issa, Darrell E.;Representative;Republican
California;6;2;Huffman, Jared;Representative;Democratic
Colorado;8;7;Perlmutter, Ed;Representative;Democratic
Colorado;8;0;Gardner, Cory;Senator;Republican
Colorado;8;2;Polis, Jared;Representative;Democratic
Colorado;8;6;Coffman, Mike;Representative;Republican
Colorado;8;4;Buck, Ken;Representative;Republican
Colorado;8;1;DeGette, Diana;Representative;Democratic
Colorado;8;5;Lamborn, Doug;Representative;Republican
Colorado;8;0;Bennet, Michael F.;Senator;Democratic
Colorado;8;3;Tipton, Scott  R.;Representative;Republican
Connecticut;9;1;Larson, John B.;Representative;Democratic
Connecticut;9;5;Esty, Elizabeth H.;Representative;Democratic
Connecticut;9;2;Courtney, Joe;Representative;Democratic
Connecticut;9;4;Himes, James A.;Representative;Democratic
Connecticut;9;0;Murphy, Christopher S.;Senator;Democratic
Connecticut;9;3;DeLauro, Rosa L.;Representative;Democratic
Connecticut;9;0;Blumenthal, Richard;Senator;Democratic
Delaware;10;0;Carper, Thomas R.;Senator;Democratic
Delaware;10;0;Coons, Christopher A.;Senator;Democratic
Delaware;10;0;Rochester, Lisa Blunt;Representative;Democratic
District of Columbia;11;0;Norton, Eleanor Holmes;Representative;Democratic
Florida;12;17;Rooney, Thomas J.;Representative;Republican
Florida;12;4;Rutherford, John;Representative;Republican
Florida;12;0;Rubio, Marco;Senator;Republican
Florida;12;9;Soto, Darren;Representative;Democratic
Florida;12;23;Wasserman Schultz, Debbie;Representative;Democratic
Florida;12;12;Bilirakis, Gus M.;Representative;Republican
Florida;12;7;Murphy, Stephanie;Representative;Democratic
Florida;12;2;Dunn, Neal;Representative;Republican
Florida;12;15;Ross, Dennis A.;Representative;Republican
Florida;12;1;Gaetz, Matt;Representative;Republican
Florida;12;25;Diaz-Balart, Mario;Representative;Republican
Florida;12;20;Hastings, Alcee L.;Representative;Democratic
Florida;12;24;Wilson, Frederica S.;Representative;Democratic
Florida;12;13;Crist, Charlie;Representative;Democratic
Florida;12;14;Castor, Kathy;Representative;Democratic
Florida;12;18;Mast, Brian;Representative;Republican
Florida;12;22;Frankel, Lois;Representative;Democratic
Florida;12;10;Demings, Val;Representative;Democratic
Florida;12;16;Buchanan, Vern;Representative;Republican
Florida;12;6;DeSantis, Ron;Representative;Republican
Florida;12;3;Yoho, Ted S.;Representative;Republican
Florida;12;11;Webster, Daniel;Representative;Republican
Florida;12;8;Posey, Bill;Representative;Republican
Florida;12;27;Ros-Lehtinen, Ileana;Representative;Republican
Florida;12;0;Nelson, Bill;Senator;Democratic
Florida;12;21;Frankel, Lois;Representative;Democratic
Florida;12;19;Rooney, Francis;Representative;Republican
Florida;12;5;Lawson, Al;Representative;Democratic
Florida;12;26;Curbelo, Carlos;Representative;Republican
Georgia;13;9;Collins, Doug;Representative;Republican
Georgia;13;8;Scott, Austin;Representative;Republican
Georgia;13;13;Scott, David;Representative;Democratic
Georgia;13;14;Graves, Tom;Representative;Republican
Georgia;13;0;Isakson, Johnny;Senator;Republican
Georgia;13;0;Perdue, David;Senator;Republican
Georgia;13;12;Allen, Rick W.;Representative;Republican
Georgia;13;3;Ferguson, Drew;Representative;Republican
Georgia;13;6;Price, Tom;Representative;Republican
Georgia;13;10;Hice, Jody B.;Representative;Republican
Georgia;13;7;Woodall, Rob;Representative;Republican
Georgia;13;11;Loudermilk, Barry;Representative;Republican
Georgia;13;1;"Carter, Earl L. &#34;Buddy&#34;";Representative;Republican
Georgia;13;4;"Johnson, Henry C. &#34;Hank,&#34; Jr.";Representative;Democratic
Georgia;13;2;Bishop, Sanford D., Jr.;Representative;Democratic
Georgia;13;5;Lewis, John;Representative;Democratic
Guam;66;0;Bordallo, Madeleine Z.;Representative;Democratic
Hawaii;15;0;Hirono, Mazie K.;Senator;Democratic
Hawaii;15;2;Gabbard, Tulsi;Representative;Democratic
Hawaii;15;0;Schatz, Brian;Senator;Democratic
Hawaii;15;1;Hanabusa, Colleen;Representative;Democratic
Idaho;16;0;Risch, James E.;Senator;Republican
Idaho;16;2;Simpson, Michael K.;Representative;Republican
Idaho;16;1;Labrador, Raul R.;Representative;Republican
Idaho;16;0;Crapo, Mike;Senator;Republican
Illinois;17;5;Quigley, Mike;Representative;Democratic
Illinois;17;8;Krishnamoorthi, Raja;Representative;Democratic
Illinois;17;7;Davis, Danny K.;Representative;Democratic
Illinois;17;4;Gutierrez, Luis V.;Representative;Democratic
Illinois;17;11;Foster, Bill;Representative;Democratic
Illinois;17;3;Lipinski, Daniel;Representative;Democratic
Illinois;17;9;Schakowsky, Janice D.;Representative;Democratic
Illinois;17;13;Davis, Rodney;Representative;Republican
Illinois;17;18;LaHood, Darin;Representative;Republican
Illinois;17;1;Rush, Bobby L.;Representative;Democratic
Illinois;17;6;Roskam, Peter J.;Representative;Republican
Illinois;17;0;Duckworth, Tammy;Senator;Democratic
Illinois;17;2;Kelly, Robin L.;Representative;Democratic
Illinois;17;17;Bustos, Cheri;Representative;Democratic
Illinois;17;16;Kinzinger, Adam;Representative;Republican
Illinois;17;18;LaHood, Darin;Representative;Republican
Illinois;17;10;Schneider, Brad;Representative;Democratic
Illinois;17;14;Hultgren, Randy;Representative;Republican
Illinois;17;0;Durbin, Richard;Senator;Democratic
Illinois;17;12;Bost, Mike;Representative;Republican
Illinois;17;15;Shimkus, John;Representative;Republican
Indiana;18;7;Carson, Andre;Representative;Democratic
Indiana;18;9;Hollingsworth, Trey;Representative;Republican
Indiana;18;0;Donnelly, Joe;Senator;Democratic
Indiana;18;4;Rokita, Todd;Representative;Republican
Indiana;18;1;Visclosky, Peter J.;Representative;Democratic
Indiana;18;0;Young, Todd;Senator;Republican
Indiana;18;5;Brooks, Susan W.;Representative;Republican
Indiana;18;6;Messer, Luke;Representative;Republican
Indiana;18;3;Stutzman, Marlin A.;Representative;Republican
Indiana;18;8;Bucshon, Larry;Representative;Republican
Indiana;18;2;Walorski, Jackie;Representative;Republican
Iowa;19;4;King, Steve;Representative;Republican
Iowa;19;3;Young, David;Representative;Republican
Iowa;19;0;Ernst, Joni;Senator;Republican
Iowa;19;1;Blum, Rod;Representative;Republican
Iowa;19;0;Grassley, Chuck;Senator;Republican
Iowa;19;2;Loebsack, David;Representative;Democratic
Kansas;20;3;Yoder, Kevin;Representative;Republican
Kansas;20;2;Jenkins, Lynn;Representative;Republican
Kansas;20;1;Marshall, Roger;Representative;Republican
Kansas;20;0;Roberts, Pat;Senator;Republican
Kansas;20;0;Moran, Jerry;Senator;Republican
Kansas;20;4;Pompeo, Mike;Representative;Republican
Kentucky;21;0;Paul, Rand;Senator;Republican
Kentucky;21;6;Barr, Andy;Representative;Republican
Kentucky;21;0;McConnell, Mitch;Senator;Republican
Kentucky;21;2;Guthrie, Brett;Representative;Republican
Kentucky;21;4;Massie, Thomas;Representative;Republican
Kentucky;21;5;Rogers, Harold;Representative;Republican
Kentucky;21;3;Yarmuth, John A.;Representative;Democratic
Kentucky;21;1;Comer, James;Representative;Republican
Louisiana;22;4;Fleming, John;Representative;Republican
Louisiana;22;3;Boustany, Charles W., Jr.;Representative;Republican
Louisiana;22;2;Richmond, Cedric L.;Representative;Democratic
Louisiana;22;6;Graves, Garret;Representative;Republican
Louisiana;22;1;Scalise, Steve;Representative;Republican
Louisiana;22;5;Abraham, Ralph Lee;Representative;Republican
Louisiana;22;0;Cassidy, Bill;Senator;Republican
Louisiana;22;0;Vitter, David;Senator;Republican
Maine;23;0;King, Angus S., Jr.;Senator;Independent
Maine;23;1;Pingree, Chellie;Representative;Democratic
Maine;23;0;Collins, Susan M.;Senator;Republican
Maine;23;2;Poliquin, Bruce;Representative;Republican
Maryland;24;4;Brown, Anthony;Representative;Democratic
Maryland;24;2;Ruppersberger, C. A. Dutch;Representative;Democratic
Maryland;24;7;Cummings, Elijah E.;Representative;Democratic
Maryland;24;0;Cardin, Benjamin L.;Senator;Democratic
Maryland;24;6;Delaney, John K.;Representative;Democratic
Maryland;24;3;Sarbanes, John P.;Representative;Democratic
Maryland;24;1;Harris, Andy;Representative;Republican
Maryland;24;8;Van Hollen, Chris;Representative;Democratic
Maryland;24;0;Van Hollen, Chris;Senator;Democratic
Maryland;24;5;Hoyer, Steny H.;Representative;Democratic
Massachusetts;25;7;Capuano, Michael E.;Representative;Democratic
Massachusetts;25;5;Clark, Katherine M.;Representative;Democratic
Massachusetts;25;1;Neal, Richard E.;Representative;Democratic
Massachusetts;25;8;Lynch, Stephen F.;Representative;Democratic
Massachusetts;25;4;Kennedy, Joseph P., III;Representative;Democratic
Massachusetts;25;2;McGovern, James P.;Representative;Democratic
Massachusetts;25;9;Keating, William R.;Representative;Democratic
Massachusetts;25;0;Warren, Elizabeth;Senator;Democratic
Massachusetts;25;6;Moulton, Seth;Representative;Democratic
Massachusetts;25;3;Tsongas, Niki;Representative;Democratic
Massachusetts;25;0;Markey, Edward J.;Senator;Democratic
Michigan;26;4;Moolenaar, John R.;Representative;Republican
Michigan;26;3;Amash, Justin;Representative;Republican
Michigan;26;12;Dingell, Debbie;Representative;Democratic
Michigan;26;7;Walberg, Tim;Representative;Republican
Michigan;26;14;Lawrence, Brenda L.;Representative;Democratic
Michigan;26;6;Upton, Fred;Representative;Republican
Michigan;26;8;Bishop, Mike;Representative;Republican
Michigan;26;1;Bergman, Jack;Representative;Republican
Michigan;26;0;Peters, Gary C.;Senator;Democratic
Michigan;26;11;Trott, David A.;Representative;Republican
Michigan;26;9;Levin, Sander M.;Representative;Democratic
Michigan;26;2;Lewis, Jason;Representative;Republican
Michigan;26;13;Conyers, John, Jr.;Representative;Democratic
Michigan;26;10;Mitchell, Paul;Representative;Republican
Michigan;26;5;Kildee, Daniel T.;Representative;Democratic
Michigan;26;0;Stabenow, Debbie;Senator;Democratic
Minnesota;27;3;Paulsen, Erik;Representative;Republican
Minnesota;27;1;Walz, Timothy J.;Representative;Democratic
Minnesota;27;2;Kline, John;Representative;Republican
Minnesota;27;8;Nolan, Richard M.;Representative;Democratic
Minnesota;27;0;Klobuchar, Amy;Senator;Democratic
Minnesota;27;6;Emmer, Tom;Representative;Republican
Minnesota;27;5;Ellison, Keith;Representative;Democratic
Minnesota;27;7;Peterson, Collin C.;Representative;Democratic
Minnesota;27;0;Franken, Al;Senator;Democratic
Minnesota;27;4;McCollum, Betty;Representative;Democratic
Mississippi;28;3;Harper, Gregg;Representative;Republican
Mississippi;28;1;Kelly, Trent;Representative;Republican
Mississippi;28;4;Palazzo, Steven M.;Representative;Republican
